SchoolName,Location_Code,District,Zip,Economic_Need_Index,School_Income_Estimate,Minorities,Black_or_Hispanic,Percent Hispanic,White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction,Collaborative_Teachers,Supportive_Environment,Effective_School_Leadership,Strong_Family-Community_Ties,Trust,Average_ELA_Proficiency,Average_Math_Proficiency,ELAPassRate,ELApass,ELAWhiteRate,MathTesters,Mathpass,Mathpassrate,MathWhitePass,ELA_limited_pass,ELA_eco_pass,Math_limited_pass,Math_eco_pass,Latitude,Longitude
P.S._15_ROBERTO_CLEMENTE,1M15,1,19,0.919,31141.72,0.99,0.92,0.6,0.1,0.94,0.18,0.89,0.94,0.86,0.91,0.85,0.94,2.14,2.17,,,,52,2,0.38,,,,,,40.721834,-73.978766
P.S._19_ASHER_LEVY,1M19,1,13,0.641,56462.88,0.94,0.83,0.63,0.6,0.92,0.3,0.96,0.96,0.97,0.9,0.86,0.94,2.63,2.98,0.149,14,,93,2,0.215,,,0.643,,0.75,40.729892,-73.984231
P.S._2_ANNA_SILVER,1M2,1,12,0.744,44342.61,0.96,0.57,0.49,0.4,0.94,0.2,0.87,0.77,0.82,0.61,0.8,0.79,2.39,2.54,0.78,17,0.118,22,34,0.155,0.59,,0.176,0.29,0.471,40.721274,-73.986315
P.S._34_FRANKLIN_D._ROOSEVELT,1M34,1,19,0.86,31454,0.96,0.92,0.63,0.4,0.92,0.28,0.85,0.78,0.82,0.73,0.89,0.88,2.48,2.47,0.36,9,,249,13,0.52,,,0.333,,0.231,40.726147,-73.975043
THE_STAR_ACADEMY_-_P.S.63,1M63,1,19,0.73,46435.59,0.9,0.84,0.65,0.1,0.93,0.23,0.9,0.88,0.87,0.81,0.89,0.93,2.38,2.54,0.14,5,,48,1,0.28,,,0.2,,0.4,40.724404,-73.98636
P.S._64_ROBERT_SIMON,1M64,1,19,0.858,39415.45,0.93,0.84,0.66,0.7,0.92,0.33,0.93,0.99,0.95,0.91,0.88,0.97,2.29,2.48,0.27,3,,115,13,0.113,,,0.667,,0.231,40.723747,-73.981602
P.S._11_FLORENCE_NIGHTINGALE,1M11,1,12,0.499,4376.73,0.73,0.53,0.43,0.27,0.95,0.13,0.88,0.78,0.95,0.69,0.87,0.78,2.8,3.2,0.221,43,0.512,195,78,0.4,0.359,,0.326,,0.397,40.715293,-73.979927
P.S._134_HENRIETTA_SZOLD,1M134,1,12,0.833,2882.67,0.97,0.75,0.55,0.3,0.91,0.36,0.87,0.89,0.88,0.88,0.79,0.94,2.28,2.73,0.71,8,,113,19,0.168,,,,0.53,0.368,40.714301,-73.982966
P.S._14_NATHAN_STRAUS,1M14,1,12,0.849,34889.24,0.97,0.9,0.78,0.3,0.93,0.27,0.94,0.91,0.85,0.87,0.83,0.93,2.21,2.27,0.21,5,,244,9,0.37,,,0.2,,0.556,40.719128,-73.983283
P.S._142_AMALIA_CASTRO,1M142,1,12,0.861,35545.1,0.98,0.9,0.78,0.2,0.92,0.27,0.92,0.89,0.9,0.83,0.89,0.95,2.16,2.31,0.42,6,,14,4,0.29,,,,,,40.71823,-73.984082
